,Unnamed: 0,singkatan,kata asal
883,,ngibul,berbohong
884,,ngidam,idam 
885,,ngikutin,ikuti 
886,,ngilangin,menghilangkan 
887,,nginep,menginap 
888,,ngingetin,mengingatkan 
889,,ngjk,mengajak 
890,,ngk,tidak 
891,,ngmbl,mengambil 
892,,ngmg,omong 
893,,ngmng,berbicara 
894,,ngmpl,berkumpul 
895,,ngmps,ke kampus
896,,ngntk,mengantuk 
897,,ngntr,ke kantor
898,,ngobatin,obati 
899,,ngobrol,bicara 
900,,ngomong,bicara 
901,,ngomongin,membicarakan 
902,,ngrasain,merasakan 
903,,ngundurin,mengundurkan 
904,,ngunyah,kunyah 
905,,ngurus,urus 
906,,ni,ini 
907,,nich,ini
908,,ninggalin,tinggalkan 
909,,nmbh,tambah 
910,,nmny,namanya 
911,,nmpk,nampak 
912,,nmr,nomor 
913,,nnti,nanti 
914,,nntn,nonton 
916,,nnton,nonton 
917,,nolak,tolak 
918,,nraktir,traktir 
919,,ntah,entah 
920,,ntap,mantap
921,,ntar,nanti 
922,,nti,nanti 
923,,ntn,nonton 
925,,nton,nonton 
926,,ntr,nanti 
927,,ntu,itu 
928,,nungguin,tunggu 
929,,nyakiti,menyakiti 
930,,nyakitin,menyakiti 
931,,nyalain,nyalakan 
932,,nyampe,sampai 
933,,nyangka,sangka 
934,,nyantai,santai 
935,,nyari,cari 
936,,nyebelin,menyebalkan 
937,,nyeremin,menyeramkan 
938,,nyesek,sesak 
939,,nyesel,menyesal 
940,,nyetel,setel 
941,,nyiksa,menyiksa 
942,,nyoba,coba 
943,,nyobain,coba 
944,,nyuci,cuci 
945,,nyukur,cukur 
946,,nyuruh,suruh 
947,,nyusul,susul 
948,,oc,oke
949,,oce,oke
950,,ohh,oh
951,,ok,oke
952,,okedech,oke
953,,okedeh,oke
954,,okeh,baik 
956,,okz,oke
957,,ol,online 
958,,org,orang 
960,,org2,orang-orang 
961,,orng,orang 
962,,ortu,orangtua 
963,,ouch,oh
964,,ouh,oh
965,,owh,oh
966,,pait,pahit 
967,,pake,pakai 
968,,pakek,pakai 
969,,pantesan,pantas 
970,,pasutri,pasangan suami istri
971,,paz,pas
972,,pcr,pacar 
973,,pcrn,pacaran 
974,,pcrny,pacarnya 
975,,pd,pada 
976,,pdahal,padahal 
977,,pdhal,padahal 
978,,pdhl,padahal 
979,,pedes,pedas 
980,,pegi,pergi 
981,,pengen,ingin
982,,penghianat,pengkhianat 
983,,pengin,ingin 
985,,pesen,pesan 
986,,pg,pergi 
987,,pgen,ingin 
988,,pgn,ingin 
990,,pilem,film 
991,,pingin,ingin 
992,,pinjem,pinjam 
993,,pinter,pintar 
994,,pkai,pakai 
995,,pke,pakai 
996,,plg,pulang 
997,,plis,tolong 
998,,pljrn,pelajaran 
999,,plng,pulang 
1000,,pmpuan,perempuan 
1001,,pndh,pindah 
1002,,pngen,ingin 
1003,,pngn,ingin 
1004,,pnjng,panjang 
1005,,pnting,penting 
1006,,pntng,penting 
1007,,pny,punya 
1008,,pnya,punya 
1009,,pokonya,pokoknya 
1010,,praktek,praktik 
1011,,prasaan,perasaan 
1012,,prgi,pergi 
1013,,prmhn,perumahan 
1014,,prmptn,perempatan 
1015,,prnah,pernah 
1016,,prnh,pernah 
1017,,prthnkn,pertahankan 
1018,,psg,pasang 
1019,,psng,pasang 
1020,,psr,pasar 
1021,,psti,pasti 
1023,,ptg,penting 
1024,,punye,punya 
1025,,puter,putar 
1026,,puterin,putar 
1027,,pzt,pasti
1028,,q,saya
1029,,qaqa,kakak
1030,,qq,kakak
1031,,qt,kita 
1032,,qta,kita 
1033,,rada,agak 
1034,,rame,ramai 
1035,,rame2,ramai-ramai 
1036,,rasane,rasanya 
1037,,rb,ribu 
1038,,rmbt,rambut 
1039,,rmh,rumah 
1041,,rmhq,rumahku 
1042,,rsk,rusak 
1043,,sabeb,bebas
1044,,sabi,bisa
1045,,saje,saja 
1046,,salfok,salah fokus
1047,,saltum,salah kostum
1048,,sambel,sambal 
1049,,samo,sama 
1050,,sampe,sampai
1051,,sans,santai 
1052,,sape,siapa 
1053,,sateny,satenya 
1054,,sbg,sebagai 
1055,,sbl,sebelah 
1056,,sblh,sebelah 
1057,,sblhny,sebelahnya 
1058,,sblm,sebelum 
1059,,sblmny,sebelumnya 
1060,,sbnr,sebenarnya 
1061,,sbnrny,sebenarnya 
1062,,sbnrnya,sebenarnya 
1063,,sbnt,sebentar 
1064,,sbntr,sebentar 
1065,,sbr,sabar 
1066,,sbtr,sebentar 
1067,,scr,secara 
